Common Name,Country,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status,Image Url
Grevy’s Zebra,East Africa,Mammal,Mammalia,Perissodactyla,Equus grevyi,2021,Endangered,Endangered,S1,G2,Restricted Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Grey Heron,"Europe, Asia, Africa",Bird,Aves,Pelecaniformes,Ardea cinerea,2021,Not Listed,Not Listed,S5,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Grey Jungle Fowl Bird,Southeast Asia,Bird,Aves,Galliformes,Gallus gallus,2021,Not Listed,Not Listed,S4,G5,Terrestrial,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Grey Loerie Bird,Africa,Bird,Aves,Coraciiformes,Turaco persa,2021,Not Listed,Not Listed,S3,G5,Terrestrial,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Grey Mouse Lemur,Madagascar,Mammal,Mammalia,Primates,Microcebus murinus,2021,Not Listed,Not Listed,S3,G3,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Grey Partridge,"Europe, Asia",Bird,Aves,Galliformes,Perdix perdix,2021,Not Listed,Not Listed,S4,G5,Terrestrial,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Grey Reef Shark,Tropical Oceans,Fish,Chondrichthyes,Elasmobranchii,Carcharhinus amblyrhynchos,2021,Not Listed,Not Listed,S4,G3,Coral Reefs,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Grey Seal,North Atlantic,Mammal,Mammalia,Pinnipedia,Halichoerus grypus,2021,Not Listed,Not Listed,S3,G4,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Grey Wolf,"North America, Europe",Mammal,Mammalia,Carnivora,Canis lupus,2021,Endangered,Not Listed,S2,G4,Terrestrial,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Greyhound,Worldwide,Mammal,Mammalia,Carnivora,Canis lupus familiaris,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Griffon Vulture,"Europe, Asia",Bird,Aves,Accipitriformes,Gyps fulvus,2021,Not Listed,Not Listed,S3,G4,Terrestrial,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Griffonshire,United States,Dog,Mammalia,Carnivora,Canis lupus familiaris,2021,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Grison,South America,Mammal,Mammalia,Mustelidae,Galictis cuja,2021,Not Listed,Not Listed,S3,G4,Terrestrial,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Grivet Monkey,Africa,Mammal,Mammalia,Primates,Chlorocebus aethiops,2021,Not Listed,Not Listed,S4,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Grizzly Bear,North America,Mammal,Mammalia,Carnivora,Ursus arctos horribilis,2021,Threatened,Not Listed,S2,G4,Terrestrial,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Groenendael,Belgium,Dog,Mammalia,Carnivora,Canis lupus familiaris,2021,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Grolar Bear,North America,Mammal,Mammalia,Carnivora,Ursus arctos x Ursus maritimus,2021,Not Listed,Not Listed,S3,G5,Hybrid,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Ground Beetle,Worldwide,Insect,Insecta,Coleoptera,Carabidae,2021,Not Listed,Not Listed,S3,G5,Terrestrial,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Ground Centipede,Worldwide,Invertebrate,Arthropoda,Chilopoda,Scutigera spp.,2021,Not Listed,Not Listed,S3,G5,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Ground Snake,North America,Reptile,Reptilia,Serpentes,Sonora semiannulata,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Ground Squirrel,North America,Mammal,Mammalia,Rodentia,Spermophilus spp.,2021,Not Listed,Not Listed,S4,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Groundhog,North America,Mammal,Mammalia,Rodentia,Marmota monax,2021,Not Listed,Not Listed,S4,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Groundhog Tick,North America,Insect,Arachnida,Ixodidae,Ixodes cookei,2021,Not Listed,Not Listed,S4,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Grouper,Tropical Regions,Fish,Actinopterygii,Perciformes,Epinephelus spp.,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Grouse,"North America, Europe",Bird,Aves,Galliformes,Tetraoninae,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Grunion,Pacific Coast,Fish,Actinopterygii,Atheriniformes,Leuresthes tenuis,2021,Not Listed,Not Listed,S2,G4,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Guadalupe Bass,North America (Texas),Fish,Actinopterygii,Centrarchidae,Micropterus treculi,2021,Endangered,Not Listed,S1,G3,Limited Range,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Guam Kingfisher,Guam,Bird,Aves,Coraciiformes,Halcyon coryi,2021,Endangered,Endangered,S1,G1,Extinct in the Wild,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Guanaco,South America,Mammal,Mammalia,Artiodactyla,Lama guanicoe,2021,Not Listed,Not Listed,S4,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Guinea Fowl,"Africa, Introduced Globally",Bird,Aves,Galliformes,Numida meleagris,2021,Not Listed,Not Listed,S4,G5,Domestic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Guinea Pig,South America,Mammal,Mammalia,Rodentia,Cavia porcellus,2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Gull,Worldwide,Bird,Aves,Charadriiformes,Laridae spp.,2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Gulper Catfish,Tropical Regions,Fish,Actinopterygii,Siluriformes,Asterophysus batrachus,2021,Not Listed,Not Listed,S3,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Gulper Eel,Tropical Oceans,Fish,Actinopterygii,Anguilliformes,Asterias spp.,2021,Not Listed,Not Listed,S3,G5,Deep-sea,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Gundi,North Africa,Mammal,Mammalia,Rodentia,Ctenodactylus gundi,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Guppy,Tropical Regions,Fish,Actinopterygii,Cyprinodontiformes,Poecilia reticulata,2021,Not Listed,Not Listed,S5,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Gypsy Cuckoo Bumblebee,"Europe, Asia",Insect,Insecta,Hymenoptera,Bombus gypsy,2021,Not Listed,Not Listed,S4,G4,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Gypsy Moth,North America,Insect,Insecta,Lepidoptera,Lymantria dispar,2021,Not Listed,Not Listed,S3,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Gypsy Moth Caterpillar,North America,Insect,Insecta,Lepidoptera,Lymantria dispar,2021,Not Listed,Not Listed,S3,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Haast’s Eagle,New Zealand,Bird,Aves,Accipitriformes,Harpagornis moorei,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Habu Snake,Japan,Reptile,Reptilia,Serpentes,Protobothrops flavoviridis,2021,Not Listed,Not Listed,S4,G5,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Haddock,North Atlantic Ocean,Fish,Actinopterygii,Gadiformes,Melanogrammus aeglefinus,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hagfish,Oceans Worldwide,Fish,Agnatha,Myxini,Myxine spp.,2021,Not Listed,Not Listed,S3,G5,Deep-sea,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Haikouichthys,Prehistoric,Fish,Chordata,Agnatha,Haikouichthys ercaicunensis,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hainosaurus,Prehistoric,Reptile,Reptilia,Sauropterygia,Hainosaurus spp.,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Hairy Frogfish,Pacific Ocean,Fish,Actinopterygii,Scorpaeniformes,Antennarius striatus,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hairy Woodpecker,North America,Bird,Aves,Piciformes,Picoides villosus,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hairy-Footed Flower Bee,"Europe, Asia",Insect,Insecta,Hymenoptera,Anthophora plumipes,2020,Not Listed,Not Listed,S3,G3,Endemic,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Halibut,North America,Fish,Actinopterygii,Pleuronectiformes,Hippoglossus hippoglossus,2021,Not Listed,Not Listed,S4,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hallucigenia,Prehistoric,Invertebrate,Animalia,Ecdysozoa,Hallucigenia sparsa,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Hamburg Chicken,Europe,Bird,Aves,Galliformes,Gallus gallus domesticus,2022,Not Listed,Not Listed,S4,G5,Domestic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hamerkop Bird,Africa,Bird,Aves,Pelecaniformes,Scopus umbretta,2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hammerhead Shark,Global,Fish,Chondrichthyes,Elasmobranchii,Sphyrna spp.,2022,Not Listed,Not Listed,S2,G4,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hammerhead Worm,Global,Invertebrate,Animalia,Ecdysozoa,Bipalium kewense,2020,Not Listed,Not Listed,S4,G5,Widespread,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Hammond’s Flycatcher,North America,Bird,Aves,Passeriformes,Empidonax hammondii,2021,Not Listed,Not Listed,S4,G5,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hamster,"Europe, Asia",Mammal,Mammalia,Rodentia,Cricetus cricetus,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harbor Porpoise,North America,Mammal,Mammalia,Cetacea,Phocoena phocoena,2022,Not Listed,Threatened,S3,G3,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harbor Seal,North America,Mammal,Mammalia,Pinnipedia,Phoca vitulina,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harbour Porpoise,North America,Mammal,Mammalia,Cetacea,Phocoena phocoena,2022,Not Listed,Threatened,S3,G3,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hardhead Catfish,North America,Fish,Actinopterygii,Siluriformes,Ardisia nigris,2021,Not Listed,Not Listed,S4,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hare,Worldwide,Mammal,Mammalia,Lagomorpha,Lepus spp.,2021,Not Listed,Not Listed,S4,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harlequin Coral Snake,Americas,Reptile,Reptilia,Squamata,Micrurus fulvius,2021,Not Listed,Not Listed,S2,G4,Limited Range,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Harlequin Rabbit,Worldwide,Mammal,Mammalia,Lagomorpha,Oryctolagus cuniculus,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harp Seal,Arctic Regions,Mammal,Mammalia,Pinnipedia,Pagophilus groenlandicus,2022,Not Listed,Not Listed,S3,G4,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Harpy Eagle,Central & South America,Bird,Aves,Accipitriformes,Harpia harpyja,2021,Not Listed,Not Listed,S3,G2,Limited Range,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Harrier,Worldwide,Bird,Aves,Accipitriformes,Circus spp.,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Harris Hawk,North America,Bird,Aves,Accipitriformes,Parabuteo unicinctus,2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hartebeest,Africa,Mammal,Mammalia,Artiodactyla,Alcelaphus spp.,2022,Not Listed,Not Listed,S2,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hatzegopteryx,Prehistoric,Dinosaur,Reptilia,Archosauria,Hatzegopteryx thambema,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:922
Havamalt,Worldwide,Mammal,Mammalia,Carnivora,Maltese x Havanese (mixed breed),2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Havanese,Worldwide,Mammal,Mammalia,Carnivora,Canis lupus familiaris,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Havapoo,Worldwide,Mammal,Mammalia,Canidae,Poodle x Havanese (mixed breed),2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Havashire,Worldwide,Mammal,Mammalia,Canidae,Havanese x Yorkshire Terrier (mixed breed),2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Havashu,USA (Domestic),Mammal,Mammalia,Carnivora,Havashu,2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hawaiian Crow,Hawaii,Bird,Aves,Passeriformes,Corvus hawaiiensis,2022,Endangered,Endangered,S1,G1,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hawaiian Goose,Hawaii,Bird,Aves,Anseriformes,Branta sandvicensis,2022,Threatened,Endangered,S1,G3,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hawaiian Honeycreeper,Hawaii,Bird,Aves,Passeriformes,Drepanis spp.,2021,Endangered,Not Listed,S1,G2,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hawaiian Monk Seal,Hawaii,Mammal,Mammalia,Pinnipedia,Neomonachus schauinslandi,2022,Endangered,Endangered,S1,G1,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hawk,Worldwide,Bird,Aves,Accipitriformes,Various species,2022,Not Listed,Not Listed,S3,G5,Global Distribution,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hawk Moth Caterpillar,Worldwide,Insect,Insecta,Lepidoptera,Sphinx spp.,2021,Not Listed,Not Listed,S4,G5,Global Distribution,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Hawkodile,USA (Fictional),Reptile,Reptilia,Crocodylia,N/A (mythical),N/A,Not Applicable,Not Applicable,N/A,N/A,Fictional,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Hawksbill Sea Turtle,Tropical Oceans,Reptile,Reptilia,Testudines,Eretmochelys imbricata,2021,Endangered,Endangered,S2,G2,Coastal,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Hazel Dormouse,Europe,Mammal,Mammalia,Rodentia,Muscardinus avellanarius,2021,Not Listed,Not Listed,S3,G5,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hector's Dolphin,New Zealand,Mammal,Mammalia,Cetacea,Cephalorhynchus hectori,2022,Endangered,Endangered,S2,G2,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Hedgehog,"Europe, Asia, Africa",Mammal,Mammalia,Eulipotyphla,Erinaceus spp.,2021,Not Listed,Not Listed,S3,G5,Global Distribution,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Helicoprion,Prehistoric,Fish,Chondrichthyes,Elasmobranchii,Helicoprion spp.,N/A,Not Applicable,Not Applicable,N/A,G1 (extinct),Fossil,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Hellbender,USA,Amphibian,Amphibia,Urodela,Cryptobranchus alleganiensis,2021,Endangered,Not Listed,S2,G3,Freshwater,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
Helmetshrike,Africa,Bird,Aves,Passeriformes,Prionops spp.,2022,Not Listed,Not Listed,S3,G5,Limited Range,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hepatic Tanager,North America,Bird,Aves,Passeriformes,Piranga flava,2021,Not Listed,Not Listed,S4,G5,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Hercules Beetle,Central America,Insect,Insecta,Coleoptera,Dynastes hercules,2022,Not Listed,Not Listed,S4,G5,Tropical Rainforests,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Hercules Moth,Tropical Regions,Insect,Insecta,Lepidoptera,Coscinocera hercules,2022,Not Listed,Not Listed,S3,G5,Tropical Rainforests,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Hermit Crab,Worldwide,Crustacean,Malacostraca,Decapoda,Coenobita spp.,2022,Not Listed,Not Listed,S4,G5,Coastal,https://api.photon.aremedia.net.au/wp-content/uploads/sites/10/Gt/2022/09/12/20213/WEB_GT2201_Crustacean_GT-Seafood-Guide-031.jpg?fit=1200%2C1010
Heron,Worldwide,Bird,Aves,Pelecaniformes,Ardea spp.,2022,Not Listed,Not Listed,S3,G5,Wetlands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Herrerasaurus,South America,Dinosaur,Reptilia,Saurischia,Herrerasaurus ischigualastensis,N/A,Not Applicable,Not Applicable,N/A,G1 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:923
Herring,Northern Hemisphere,Fish,Actinopterygii,Clupeiformes,Clupea harengus,2021,Not Listed,Not Listed,S4,G5,Marine,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Herring Gull,Northern Hemisphere,Bird,Aves,Charadriiformes,Larus argentatus,2021,Not Listed,Not Listed,S4,G5,Coastal,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Highland Cattle,Scotland,Mammal,Mammalia,Artiodactyla,Bos taurus,2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
